first_seen,symbol,side,outcome,exit_type,r_multiple,roi_pct,leverage,planned_entry,planned_entry_note,planned_dca,planned_stop,planned_take_profits,risk_note,avg_entry,dca_fills,stop_moves,tp_changes,partials,exit_price,entry_time,exit_time,duration_hours,thesis,management_story,indicators,market_context,still_open_at_end,confidence,notes,msgs,first_link
2026-05-09 11:51:05,STABLEUSDT,long,win,take_profit,,231.02,25,0.0346,"0.0346 CMP, flagged as a swing that would take time",,0.03,0.04,,0.03459,,,time=2026-05-12 06:19:25; to=[0.03737]; msg=82,time=2026-05-12 06:49:52; price=0.03737; portion_pct=100; note=accidentally closed the whole position on that exchange at TP1 for +200.92% at 25x; a second copy on MEXC stayed open; msg=83,0.04,2026-05-09 11:51:05,2026-05-13 06:13:16,90.4,"Swing long on a slow-moving shitcoin from 0.0346 up to the 0.04 round number, explicitly not for scalpers.","He called STABLE as a swing at 0.0346 CMP with a 0.04 target and a 0.03 stop, warning it would take time - and for three days it did nothing ('STABLE has been really STABLE'). On 12 May he added a first target at 0.03737 with the position +144% at 25x, then accidentally closed 100% of it right at that level for +200.92%, telling followers the 0.04 target was still valid but to take at least 50% there because it is resistance. Screenshots hours later showed he still had a live copy of the same long on MEXC (entry 0.03453, +248%), so he was not actually flat. On 13 May the full 0.04 target printed - a 20% unleveraged move, +231.02% ROI at 20x.",resistance,quiet tape; he pointed intraday traders at his BTC scalp instead,False,medium,"Same idea run on two exchanges: entry 0.03459 at 25x on the first (closed by accident at 0.03737) and 0.03453 at 20x on MEXC (held to the 0.04 target). Treated as one position. avg_entry/leverage use the first card; the final exit price 0.04 is his stated target level, which he says was hit in full rather than a posted fill.","#44, #51, #82, #83, #84, #86, #89",https://discord.com/channels/1042855255089623100/1501271173588193290/1502593742513635530
2026-05-09 13:58:20,ETHUSDT,long,win,manual_close,,124.58,100,2310,2310 CMP with 50% of size held back for the 2290 DCA,2290,2260,2350,DCA is 50% of size,2311.73,,,time=2026-05-09 14:00:58; to=[2350]; msg=46,,2340.53,2026-05-09 13:58:20,2026-05-10 18:45:44,28.8,Weekend scalp long on ETH from 2310 CMP with a 50% DCA underneath at 2290.,"He called the long at 2310 CMP with a 2290 DCA and a 2260 stop, and two minutes later put the target at 2350+, saying he would close manually. The position sat through the weekend and on 10 May he closed all of it at 2340.53 from an average of 2311.73 - +124.58% at 100x - calling it good enough for a weekend scalp. Two minutes after the screenshot went out, 2350 traded, so the target he had given was reached anyway. He never used the 2290 DCA.",,weekend session,False,high,The original call carried no target; the 2350 level came two minutes later in MSG 46 and is recorded as the planned take profit.,"#45, #46, #49, #50",https://discord.com/channels/1042855255089623100/1501271173588193290/1502625769904406701
2026-05-09 14:12:56,TAKEUSDT,long,not_taken,not_taken,,,,,,,,,Wanted at least 2 open positions closed before adding new ones.,,,,,,,,,,TAKE looked good for a long but he was at his self-imposed position limit.,He posted that TAKE looked good for a long but that too many positions were already running - he wanted at least two closed before opening anything new - and signed off with 'see you at TPs'. No levels were given and TAKE is never mentioned again.,,,False,high,"Pure pass; no entry, stop or target published.",#48,https://discord.com/channels/1042855255089623100/1501271173588193290/1502629441908510731
2026-05-11 00:40:45,ZROUSDT,long,win,take_profit,,215.72,50,1.486,re-entered at 1.486 in the same message that reported the previous ZRO position stopping at breakeven,1.42,1.37,1.55,,1.4772,,,,time=2026-05-11 09:12:24; price=1.5369; portion_pct=20; note=+189.93% on the 50x; msg=67,1.5457,2026-05-11 00:40:45,2026-05-11 12:32:58,11.9,"An immediate re-entry of the same ZRO long seconds after the first one was stopped at breakeven - same idea and same 1.55 target, with a lower stop and a DCA at 1.42.","He announced the breakeven stop and the re-entry in the same message at 00:40 on 11 May: long again at 1.486, DCA 1.42, TP1 1.55, SL 1.37 - his card shows the fill at 1.4772. At 09:12 he booked 20% at 1.5369 for +189.93% and made a point of not moving the stop to entry, leaving the original 1.37 in place. Three hours later the 1.55 target filled: the card shows 1.5457 and +215.72%. He noted straight after that this was the second time he had milked the same setup.",,,False,high,"He explicitly refused to move the stop to entry after the 20% partial, so the original 1.37 stood to the end. The 1.42 DCA is never reported as filling.","#57, #67, #72, #73",https://discord.com/channels/1042855255089623100/1501271173588193290/1503149825196036228
2026-05-11 02:30:48,BTCUSDT,short,win,manual_close,,109.47,100,82300,82.3k CMP,83000,83650,"80000, 81000",,82202.8,,,,,81302.9,2026-05-11 02:30:48,2026-05-11 03:58:37,1.5,"A counter-trend scalp short into the 82.3k spike, looking to cover in the 80-81k region.","He shorted at 82.3k CMP with a DCA planned higher at 83k and a stop at 83,650 (msg 59), then said he was looking to scalp it around 80-81k (msg 60). BTC sold off immediately so the 83k DCA never came into play, and he covered 88 minutes later at 81,302.90 from 82,202.80 for +109.47% on 100x - 'TPed, fast top short, closed' (msg 61). He banked it above his own 80-81k target zone rather than waiting for it, and immediately said he would flip long once price stabilised around 80k (msg 62).",,"He was openly bullish for the week, expecting 84-85k (msg 58), and took this quick top short against his own bias.",False,high,"He calls it a TP, but the fill at 81,302.90 is above the 80-81k target zone, so it is recorded as a manual close in profit rather than a take-profit.","#59, #60, #61",https://discord.com/channels/1042855255089623100/1501271173588193290/1503177518499233970
2026-05-11 09:13:29,BTCUSDT,long,win,manual_close,,109.31,100,80900,80.9k CMP in the public call; he had already started scaling in from 80.6k before publishing it (msg 68). No DCA on this one.,,79500,"81500, 81600","He kept the wider 79.5k stop, 'playing safe here, scalp'; a tighter optional stop at 79,750 was offered to followers (msg 71)",80914.2,,,"time=2026-05-11 13:42:47; to=[81500, 81600]; msg=74; note=first target given; the call itself had none, and he said he would close manually rather than leave a resting order",,81798.7,2026-05-11 09:13:29,2026-05-11 19:32:08,10.3,"Long the 80k region on the view that if the 80s hold, BTC runs to 84k - traded as a scalp he intended to close manually around 81.5-81.6k.","He said he would long once BTC stabilised, with the 80k region as the place he wanted (msg 62), then started scaling in privately from 80.6k with a 79.5k stop and posted the running 150x card at +51.78% (msg 68). Once confident he published the formal call at 80.9k CMP with no DCA and the same 79.5k stop (msg 70), offering followers a tighter 79,750 stop while keeping the wider one himself (msg 71). Mid-afternoon he said he would close manually targeting 81.5-81.6k (msg 74). He closed the whole position that evening (msg 75) and posted the proof card: entry 80,914.20, exit 81,798.70, +109.31% on 100x (msg 76) - above his own stated target.",support/resistance,"Right after covering the top short; he wanted price to stabilise before longing, and read 80k holding as the trigger for a run to 84k.",False,high,"One position run on more than one account: the entry card (msg 68) is 150x and the closing card (msg 76) is 100x. Leverage and ROI record the closing card. The 80.6k private scale-in and the 80.9k published entry are the same trade, not two.","#62, #68, #69, #70, #71, #74, #75, #76",https://discord.com/channels/1042855255089623100/1501271173588193290/1503199754027270164
2026-05-12 04:30:58,BTCUSDT,long,loss,stop_loss,,,,81300,"Half at 81.3k, half at the 80.7k DCA; he flagged it as slightly risky so followers could go half risk or simply enter at the DCA",80700,79500,,Slightly risky - half risk or DCA-only entry suggested for followers,81000,"time=2026-05-12 04:50:49; price=80700; note=DCA leg filled 20 minutes after the call, blended average 81k and already in profit; msg=80",,time=2026-05-13 06:14:46; to=[82000]; msg=90; note=conditional - he wanted a 4h close above 81.1k first | time=2026-05-13 12:12:53; to=[82000]; msg=98; note=official TP; he added he would most probably close early at 81.5-81.6k because he only scalps BTC,,,2026-05-12 04:30:58,2026-05-13 18:15:09,37.7,"Another BTC scalp long, from 81.3k with a DCA at 80.7k, wanting a 4h close above 81.1k to open a run to 82k.","He called it at 81.3k with a DCA at 80.7k and a 79.5k stop, telling followers it was slightly risky so they could halve risk or just enter at the DCA (msg 79). The DCA filled 20 minutes later at a perfect level - 'if you entered at DCA you sniped' - taking his average to 81k in profit (msgs 80-81). By the next morning it was back around breakeven (msg 90); he said he needed a 4h close above 81.1k to get 82k, then set the official TP at 82k while flagging that he would probably exit early at 81.5-81.6k (msg 98). Price missed that trim level by about $150 and reversed into his stop: 'Sorry guys lost on BTC, stayed above profits for a long time but didn't TP, wanted to trim first @ 81.5k but missed by 150$' (msg 99). He re-entered a new long a minute later.",4h close,Continuation of his bullish 84-85k week view after two profitable BTC scalps.,False,high,"The loss is stated plainly but no exit price or card was posted - 79.5k is his published stop, not a confirmed fill. Average entry 81k is his own figure. The call carried no TP; the 82k target only appeared on 05-13.","#79, #80, #81, #90, #98, #99",https://discord.com/channels/1042855255089623100/1501271173588193290/1503570149297360977
2026-05-12 15:01:26,XRPUSDT,long,win,manual_close,,23.45,100,1.448,1.448 CMP,,1.4,"1.5, 1.525",,1.4497,,,,,1.4531,2026-05-12 15:01:26,2026-05-14 17:30:30,50.5,Long XRP at market with targets at 1.5 and 1.525 and a 1.4 stop; no reasoning was given with the call.,"He called the long at 1.448 CMP with two targets and a 1.4 stop. It went nowhere for two days and sat around breakeven, and on 14 May price nearly touched his stop, which he read as the setup being invalidated - so he closed at 1.4531 from 1.4497 for a token +23.45% at 100x rather than risk the full stop. Minutes later it broke out, and by that evening it had run to 1.5431, through both of his targets. He posted the chart himself and called it a fumble, saying the idea was right even though he had exited early.",,not stated,False,high,"Closed for a tiny profit, so it counts as a win, but he treats it as a fumbled trade because the full target hit after he was out.","#85, #90, #108, #110, #124",https://discord.com/channels/1042855255089623100/1501271173588193290/1503728811768811663
2026-05-13 06:41:20,ETHUSDT,long,unknown,unknown,,,,2293,2293 CMP; the message went out late and he confirmed the entry was still good at 2298,,2245,2336,Risky trade go half,,,,time=2026-05-13 07:21:45; to=[2336]; msg=95,,,2026-05-13 06:41:20,,,"Risky market long on ETH with a 2245 stop, taken at half size - 'I hate ETH'.","He called the long at 2293 CMP with a 2245 stop, flagged it as risky and told people to go half size. Eleven seconds later he noted the message had gone out late and that 2298 was still a valid entry. Forty minutes after that he gave the first target, 2336, joking that he would take a break if ETH broke his streak. Nothing in the log ever says how this one ended.",,not stated,False,low,"No exit, stop-out or update of any kind after MSG 95. He floats a fresh ETH long idea on 16 May, so this one had presumably been closed or stopped by then, but nothing states it - outcome left unknown.","#91, #92, #95",https://discord.com/channels/1042855255089623100/1501271173588193290/1503965346304884828
2026-05-13 06:52:43,SOLUSDT,long,win,manual_close,,17.79,100,95.5,95.5 CMP,,93.5,97,,95.53,,,,,95.7,2026-05-13 07:02:05,2026-05-13 12:11:15,5.2,"He thought SOL was a much better long from CMP than the ETH trade he had already called, so he offered SOL as an optional add-on long.","Ten minutes after saying SOL looked a lot better to long than the ETH he had already called, he posted the SOL long at 95.5 CMP with TP 97 and SL 93.5, framed as optional ('if anyone's looking long for SOL'). Five hours later he closed it himself at 95.7 for a token +17.79% on 100x, explicitly to stay on the safe side and protect his streak while his other three longs ran. Twenty seconds after that he told risk-tolerant members the setup was still valid and they could keep it running rather than close with him.",,,False,high,He exited early for streak-protection reasons rather than at the 97 target; the follower guidance (keep it running) differs from his own action and is recorded in the story only.,"#93, #94, #96, #97",https://discord.com/channels/1042855255089623100/1501271173588193290/1503968208800190536
2026-05-13 18:16:30,BTCUSDT,long,win,manual_close,,202.99,100,79400,CMP entry (msg 101) with about 25% of size held back for the DCA,79000,77900,82000,"Save some for DCA - around 25%, half of what you're putting on now",79284.35,time=2026-05-14 17:30:30; price=79000; note=25% DCA filled - confirmed when he posted the 79.2k average running in heavy profit; the actual fill time was never stated; msg=108,,,,80893.8,2026-05-13 18:16:30,2026-05-14 18:02:51,23.8,"Immediate re-entry after the stop-out: long 79.4k CMP with 25% kept back for a 79k DCA, targeting 82k, on his scripted path of a dip to 78.5k, a bounce and a news-driven push to 81-82k.","He called the re-entry within a minute of announcing the previous loss - long 79.4k CMP, 25% saved for a DCA (msgs 100-101) - and gave the DCA level as 79k two minutes later (msg 102). The DCA filled and by the following afternoon he showed the position at an average of 79.2k running in heavy profit (msg 108), with a card at 79,284.35 and +108.28% on 100x (msg 109), noting BTC was moving exactly as he had mapped it (msg 111). He closed the whole position at about 81k for +202.99% on 100x - card 79,284.35 to 80,893.80 - saying it made back the losses from both earlier stop-outs (msg 112). He then posted the same trade from two other accounts: BloFin 30x, 79,313.40 to 80,926.40, +61% (msg 115), and a 250x card at +448.51% (msg 116).",news,"Clarity-act headlines were the catalyst; he had publicly scripted the move - dip to 78.5k, bounce, news, 81-82k (msgs 111, 121).",False,high,"One position run on at least three accounts (100x main, BloFin 30x, 250x) - the three cards are not three trades. He exited at ~81k, below his published 82k target. Stated average 79.2k vs 79,284.35 on the card; the BloFin card shows 79,313.40.","#100, #101, #102, #108, #109, #111, #112, #115, #116",https://discord.com/channels/1042855255089623100/1501271173588193290/1504140287096651806
2026-05-14 03:17:11,SOLUSDT,long,win,manual_close,,45.03,100,91.25,91.25 CMP,,87.5,,"Soft stop was a 4h close under 88, with a hard stop at 87.5.",91.05,,time=2026-05-14 03:53:31; type=tightened_unspecified; msg=106,,,91.46,2026-05-14 03:17:11,2026-05-14 17:30:30,14.2,"A second SOL long at market the morning after the first one, with the stop defined on a 4h close under 88 rather than a hard level.","He longed SOL again at 91.25 CMP, publishing no target and a two-part stop: a 4h close under 88, or a hard 87.5. Thirty-six minutes later he said he had modified the SOL stop because the trade was already in profit, but never gave the new level. That afternoon he closed SOL together with XRP 'in minor profits' - his card shows entry 91.05, close 91.46, +45.03% on 100x.",4h close,,False,high,"The stop move at msg 106 has no level attached - he only said it was modified and that members could adjust too, so 'to' is null.","#103, #106, #108",https://discord.com/channels/1042855255089623100/1501271173588193290/1504276354516910202
2026-05-14 03:18:10,BBUSDT,long,win,manual_close,,116.46,25,0.03535,"0.03535 CMP, risky half-margin trade",,0.3,"0.39, 0.41",Flagged risky - half margin.,0.03538,,,time=2026-05-14 03:52:57; to=[0.404]; msg=105,,0.0371,2026-05-14 03:18:10,2026-05-15 03:20:30,24.0,"A deliberately risky, half-margin long on BB taken at market a minute after the SOL long.","He called BB long at 0.03535 CMP as a risky half-margin trade, posting TP 0.39-0.41 and SL 0.3. Thirty-five minutes later he dropped the first target - 'Remove the first TP 0.039 will take full TP around 0.404' - so his own plan became a single full exit. A day later he admitted he had 'totally forgot about this one' and closed early at 0.0371 for +116.46% on 25x rather than waiting for the target.",,,False,medium,"Levels recorded exactly as posted, but the decimals are almost certainly wrong: with a 0.03535 entry the TP 0.39-0.41 and SL 0.3 should read 0.039-0.041 and 0.03 - his own follow-up message calls the first target '0.039' while the revised full TP is written '0.404'. The exit at 0.0371 sits between the plausible 0.039 target and the entry, consistent with the dropped-decimal reading.","#104, #105, #127",https://discord.com/channels/1042855255089623100/1501271173588193290/1504276604292042863
