msg,timestamp,event_type,symbol,side,entry_price,dca_price,take_profits,stop_loss,portion_pct,leverage,r_multiple,roi_pct,price_ref,risk_note,rationale,indicators_mentioned,market_context,quote,confidence,link
18,2026-05-08 04:08:16,dca,BTCUSDT,long,,79469,,,,,,,,equal DCA (same size as the initial entry),places an equal-sized DCA at 79469; position is sitting at breakeven right now so followers can adjust,,,"Putting an equal DCA @ 79469 

At BE rn so you can adjust accordingly",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502114884362702878
19,2026-05-08 06:24:00,dca,BTCUSDT,long,79590,79469,,,,,,,,,the 79469 DCA filled; blended position now sits at breakeven at 79590,,,DCA filled and at BE (79590),high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502149041889218672
19,2026-05-08 06:24:00,partial_close,BTCUSDT,long,,,,,50,,,,79590,take out your DCA value here,instructs taking the DCA portion back off at breakeven so it can be re-placed lower (clarified in msg 21 as 50%),,,Kindly take out your DCA value here.,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502149041889218672
19,2026-05-08 06:24:00,dca,BTCUSDT,long,,78600,,,,,,,,equal DCA,re-places the equal DCA lower at 78.6k after taking the filled DCA off at BE; TP to be taken manually; confident the trade exits green,,,"Putting equal DCA @ 78.6k

SL @ 77.6k

TP MANUALLY!

I know it's sound messy but I'm confident we will exit this one in green!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502149041889218672
19,2026-05-08 06:24:00,sl_move,BTCUSDT,long,,,,77600,,,,,,,stop widened from 78.5k to 77.6k to sit below the new 78.6k DCA level,,,SL @ 77.6k,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502149041889218672
21,2026-05-08 06:24:33,partial_close,BTCUSDT,long,,78600,,,50,,,,,,clarifies msg 19 - take 50% (the filled DCA half) off here and re-place it as a limit at 78.6k,,,Basically take out 50% DCA here and put it at 78.6k,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502149183405293568
22,2026-05-08 06:43:06,call,AVNTUSDT,long,0.158,,"0.1746, 0.2023",0.1411,,,,,0.158,,long at CMP with two targets,,,"Long AVNT

Entry: 0.158 CMP 

TP: 
0.1746
0.2023

SL: 0.1411",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502153850231193630
23,2026-05-08 06:43:37,update,,,,,,,,,,,,Manage risk.,"position roll call - UNI, ZRO, BTC and AVNT all running",,,"We have 4 positions running

UNI
ZRO
BTC
AVNT

Manage risk.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502153981391012050
23,2026-05-08 06:43:37,education,,,,,,,,,,,,I risk 2% on normal traders and 1% on risky ones,"states his own position sizing rule - 2% risk on normal trades, 1% on the ones he flags as risky",,,I risk 2% on normal traders and 1% on risky ones!,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502153981391012050
24,2026-05-08 07:21:04,view,,long,,,,,,,,,,caps himself at 4 open positions,likes SLP and KERNEL as longs too but is holding at four positions until the current TPs come in,,,"I like SLP and KERNEL too but I think 4 are enough for now, let's get these TPs first",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502163404553715722
25,2026-05-08 13:48:41,partial_close,BTCUSDT,long,79564.8,,80500,,20,,,,,,"BTC started moving - optional 20% trim at 80.5k; he will post when he closes. Screenshot shows his entry price 79,564.80",,,"BTC started moving, you can take 20% @ 80.5k if you want, I'll update whenever I close!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502260952098279615
26,2026-05-08 18:44:20,partial_close,UNIUSDT,long,,,,,50,50,0.7,101.21,,,treats UNI as the channel's first win and books half the position at a 0.7R move; PnL card shows the 50x UNI long closed at +101.21% ROI,,,"Okay let's treat as our first win 

Closing 50% UNI for 0.7 R move",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502335355628687451
26,2026-05-08 18:44:20,tp_move,UNIUSDT,long,,,"3.7, 4",,,,,,,,target lifted from the original 3.669 - he will fully take profit at 3.7 while followers can hold for 4,,,"I'll take personally  fully TP @ 3.7
You can hold till 4",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502335355628687451
26,2026-05-08 18:44:20,sl_move,UNIUSDT,long,3.46,,,3.46,,,,,,,stop moved to breakeven at the 3.46 entry after taking the 50% partial,,,SL @ BE 3.46,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502335355628687451
27,2026-05-08 18:47:55,call,KERNELUSDT,long,0.064,,0.066,0.581,,,,,,,"high win rate / low R trade; manual TP targeting ~0.066 first, stop is a 4h close under the level or the hard stop. NOTE: he wrote the stops as 0.59 and 0.581, which are recorded verbatim but are almost certainly typos for 0.059 / 0.0581 given the 0.064 entry",4h close,,"Long KERNEL 

Entry: 0.064

TP: Manually, targeting first around 0.066

SL: 4h under 0.59 or hard SLs  at 0.581

High Win rate Low R trade",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1502336255449366558
28,2026-05-08 18:48:07,update,KERNELUSDT,long,,,,,,,,,0.064,,clarifies that the 0.064 KERNEL entry is at current market price,,,CMP ^,medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1502336308406911027
29,2026-05-08 19:41:13,close,UNIUSDT,long,,,3.7,,100,,1.4,,3.7,,UNI broke out ('blew up') and he exited the remainder at his 3.7 target for about 1.4R; chart shows UNIUSDT +7.52% with a parabolic breakout to 3.698,,,"Well UNI blew up, I'm fully out here @ 3.7 for around 1.4 R",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502349669571891250
29,2026-05-08 19:41:13,view,UNIUSDT,long,,,,,,,,,4,,expects UNI to reach $4 by the coming weekend or week even though he is out,,,Think we see 4$ by coming weekend/week,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502349669571891250
30,2026-05-08 19:41:59,chat,,,,,,,,,,,,,"clarifies the Demo Trading watermark on his screenshots - he trades a CFT funded account on Bybit, not demo",,,Btw not trading demo it's CFT funded account on Bybit just clarifying,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502349863180828906
31,2026-05-08 19:49:28,call,SNXUSDT,long,0.354,0.334,0.39,0.31,50,,1.0,,0.354,DCA is 50% of size; TP1 closes 50% of the position,"long at CMP with a 50% DCA at 0.334; first target 0.39 is 1R and takes half off, second target to be given later",,,"Long SNX

Entry: 0.354 CMP 
DCA: 0.334 (50%)

TP: 0.39 (1R) (50%)
TP2 later 

SL: 0.31",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502351744259063878
32,2026-05-08 19:54:13,update,,,,,,,,,,,,please manage risk 1-2% per trade,"position roll call - BTC, KERNEL, ZRO, AVNT and SNX running",,,"Running

BTC 
KERNEL 
ZRO
AVNT
SNX",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502352942743818250
32,2026-05-08 19:54:13,view,,long,,,,,,,,,,will not add them - five positions are enough,"sees ASTER, NEAR and SOL as ready for a weekend pump but is not taking them",,expects a weekend alt pump,"I like many more ALTs that look ready for a weekend PUMP ASTER, NEAR, SOL but these are enough, please manage risk 1-2% per trade.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502352942743818250
33,2026-05-08 21:22:35,plan,BTCUSDT,long,79500,,"81000, 82000",,,,,,,,"expects a hard BTC pump over the weekend to the previous daily high; a 4h close above 80.5k would put 81-82k in play, where he intends to close the long he holds from 79.5k","4h close, previous daily high",weekend,"I have a feeling we will pump hard on BTC this weekend, can visit previous daily high.

4h close above 80.5k and I would expect 81-82k, where I'll be looking to close my long from 79.5k",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502375178162933760
34,2026-05-09 02:01:21,education,,,,,,,,,,,,limits the number of calls because followers ignore risk management and go all in,"the alts he named (SOL, NEAR, PUMPFUN, ASTER charts attached) all popped off; explains he caps his own calls because followers do not manage risk, and tells them to do their own analysis on any coin he mentions",,alt market moving up,"Look at them go, every ALT I mentioned here just popping off even ASTER started moving

Usually I'm already in too many trades and have to limit myself for giving positions because I feel like people don't care about risk management and jump in all in.

But if I ever mention a coin and you can do some analysis, check them out!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502445332355878943
35,2026-05-09 04:45:42,tp_hit,KERNELUSDT,long,0.06454,,0.066,,,20,,49.35,0.06615,,"KERNEL reached the first target; share card shows the 20x long still open, entry 0.06454, mark 0.06615, +49.35% ROI",,,"KERNEL TP1 here, next TP @ 0.0673",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502486692232298586
35,2026-05-09 04:45:42,tp_set,KERNELUSDT,long,,,0.0673,,,,,,,,sets the second KERNEL target at 0.0673 after TP1,,,next TP @ 0.0673,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502486692232298586
36,2026-05-09 04:48:32,update,AVNTUSDT,long,0.15851,,,,,50,,265.55,0.16787,,"running-trade card in the batch update - AVNT 50x long open at +265.55% (entry 0.15851, mark 0.16787)",,,"All trades running in good profits, take TP whenever you want, don't let them round trip. 

I'll update when I close.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502487407654862971
36,2026-05-09 04:48:32,update,BTCUSDT,long,79764.4,,,,,100,,67.25,80333.9,,"running-trade card in the batch update - BTC 100x long open at +67.25% (entry 79,764.40, mark 80,333.90)",,,"All trades running in good profits, take TP whenever you want, don't let them round trip. 

I'll update when I close.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502487407654862971
36,2026-05-09 04:48:32,update,KERNELUSDT,long,0.06454,,,,,20,,49.35,0.06615,,running-trade card in the batch update - KERNEL 20x long open at +49.35%; tells followers to take TP whenever they want and not let winners round trip,,,"All trades running in good profits, take TP whenever you want, don't let them round trip. 

I'll update when I close.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502487407654862971
36,2026-05-09 04:48:32,update,SNXUSDT,long,0.3545,,,,,25,,118.67,0.3727,,"running-trade card in the batch update - SNX 25x long open at +118.67% (entry 0.3545, mark 0.3727)",,,"All trades running in good profits, take TP whenever you want, don't let them round trip. 

I'll update when I close.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502487407654862971
36,2026-05-09 04:48:32,update,UNIUSDT,long,3.458,,,,,50,,101.21,3.528,,"re-posted closed card inside the batch - UNI 50x long, entry 3.458, exit 3.528, +101.21%, documenting the earlier partial close",,,"All trades running in good profits, take TP whenever you want, don't let them round trip. 

I'll update when I close.",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1502487407654862971
36,2026-05-09 04:48:32,update,ZROUSDT,long,1.4744,,,,,50,,34.43,1.4849,,"running-trade card in the batch update - ZRO 50x long open at +34.43% (entry 1.4744, mark 1.4849)",,,"All trades running in good profits, take TP whenever you want, don't let them round trip. 

I'll update when I close.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502487407654862971
38,2026-05-09 04:52:10,close,SYRUPUSDT,long,0.25328,,,,100,25,,67.61,0.26013,,"closes an older Journals trade out of impatience after holding it 10 days, despite believing it will blow up; 25x long exited 0.26013 for +67.61%",,,"Also closing this trade from Journals, 100% this is gonna blow up but I have been holding for 10 days, its getting annoying.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502488322143162518
39,2026-05-09 04:54:13,education,,,,,,,,,,,,SL to Entry after TP1,general rule reminder - move the stop to entry once TP1 is taken; posted as a reply to the KERNEL TP1 message,,,"Common knowledge but a reminder, SL to Entry after TP1",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502488837132259390
39,2026-05-09 04:54:13,sl_move,KERNELUSDT,long,,,,,,,,,,,"posted as a reply to the KERNEL TP1 message, so it implies moving the KERNEL stop to entry; he did not restate the entry level so no stop price is recorded",,,"Common knowledge but a reminder, SL to Entry after TP1",low,https://discord.com/channels/1042855255089623100/1501271173588193290/1502488837132259390
40,2026-05-09 06:06:56,close,BTCUSDT,long,79764.4,,,,100,100,,72.31,80400,,"closes the BTC long at 80.4k; card shows the 100x long exited at 80,341.20 from 79,764.40 for +72.31%",,,Closing BTC @ 80.4k,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502507137337786561
41,2026-05-09 06:54:44,update,BTCUSDT,long,79500,,,,,,,,,,"clarifies the BTC entry - original entry was 79.5k, the card shows 79.7k because he added margin",,,BTW 79.5k was the original entry I added more margin so it shows 79.7k,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502519166286954537
42,2026-05-09 07:10:34,plan,BTCUSDT,long,80300,,,79000,,,,,,,"wants to re-long BTC because he still believes it pumps hard and makes a new daily high or at least visits the previous high, but would rather wait for a ~80.3k entry than take CMP",previous daily high,,Kinda wanna long BTC again from CMP with SL 79k because as I said earlier I believe BTC will pump hard and might make a new daily High or at least visit previous High but will wait if I can get an entry around 80.3k,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502523149831634995
43,2026-05-09 09:53:50,plan,BTCUSDT,long,79000,78000,,77000,,,,,,"don't place any limits, wait for his entry confirmation","lower timeframes look bearish so he waits; plans to re-use the previous setup (79k entry, 78k DCA, 77k SL) and will call the entry live rather than have followers leave limit orders",LTF,LTF looks bearish,"LTF looks bearish so waiting for entry, I would like to use the same setup as before, 79k entry, 78k DCA, 77k SL but don't place any limits I'll let you know when I enter. 

Looking to long in 79k region!",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1502564237762101269
44,2026-05-09 11:51:05,call,STABLEUSDT,long,0.0346,,0.04,0.03,,,,,0.0346,,swing long at CMP that will take time; intraday/scalp traders should wait for the BTC scalp instead,,,"Long STABLE (Swing)

Entry: 0.0346 CMP 

TP: 0.04

SL: 0.03

Will take some time, if you like intradays/scalps wait for BTC scalp!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502593742513635530
45,2026-05-09 13:58:20,call,ETHUSDT,long,2310,2290,,2260,,,,,2310,DCA is 50% of size,long at CMP with a 50% DCA at 2290; no target given in this message,,,"Long ETH 

Entry: 2310 CMP

DCA: 2290 (50%)

SL: 2260",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502625769904406701
46,2026-05-09 14:00:58,tp_set,ETHUSDT,long,,,2350,,,,,,,,"gives the ETH target - 2350+, closed manually",,,Will close manually but targeting 2350+,medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1502626428687220946
47,2026-05-09 14:01:21,update,,,,,,,,,,,,,"position roll call - ZRO, AVNT, STABLE, SNX and ETH running",,,"Trades running

ZRO
AVNT
STABLE
SNX
ETH",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502626528754925680
48,2026-05-09 14:12:56,view,TAKEUSDT,long,,,,,,,,,,wants at least 2 positions closed before opening new ones,TAKE looks good for a long but he is at position capacity,,,"TAKE looking good for long but too many positions running at the moment I want at least 2 out for new trades, see you at TPs",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1502629441908510731
49,2026-05-10 18:45:44,close,ETHUSDT,long,2311.73,,,,100,100,,124.58,2340.53,,closes the ETH long calling it good enough for a weekend scalp; 100x long exited 2340.53 from 2311.73 for +124.58%,,weekend,"Alright guys good enough for a weekend scalp, closing it here!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503060481118568578
50,2026-05-10 18:47:56,tp_hit,ETHUSDT,long,,,2350,,,,,,2350,,the 2350 ETH target printed moments after he closed and posted the screenshot,,,"2350 was my target, already hit while I was sending the screenshot.",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1503061037740458126
51,2026-05-10 18:50:39,update,STABLEUSDT,long,,,,,,,,,,,STABLE has not moved - still trading around his entry,,,STABLE has been really STABLE still around entry,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503061718493036725
52,2026-05-10 21:01:23,partial_close,AVNTUSDT,long,0.15851,,,,,50,,246.69,0.16709,,takes TP1 on AVNT at the current 0.16709 with the 50x long still open at +246.69%; portion not specified,,,"AVNT TP1 here, fully close @ 0.1746",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1503094618345181387
52,2026-05-10 21:01:23,tp_move,AVNTUSDT,long,,,0.1746,,100,,,,,,the rest of AVNT now comes off at 0.1746 rather than being held for the original second target at 0.2023,,,"AVNT TP1 here, fully close @ 0.1746",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503094618345181387
53,2026-05-10 21:02:37,plan,SNXUSDT,long,,,,,,,,,,,close to closing SNX on gut feel with no technical reason given,,,I'm this close to closing SNX idk why but I just want to close,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503094928329412670
53,2026-05-10 21:02:37,update,ZROUSDT,long,,,1.5523,,,,,,,,ZRO has been rejecting from the 1.5523 TP for three days; advises taking profit early if a drop appears,,,"ZRO is edging me off keeps coming back from TP @ 1.5523 since 3 days, take TP early if you see a drop.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503094928329412670
54,2026-05-10 22:10:30,partial_close,ZROUSDT,long,1.4744,,1.55,,25,50,,178.94,1.53,,"books 25% of ZRO at 1.53 (+178.94% on the 50x) and plans the full exit around 1.55+, will update if he sees weakness",,,"25% here, fully exit around 1.55+ 
Will update if I see weakness",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503112014283673735
55,2026-05-10 22:13:10,recap,,,,,,,,,,,,,claims eight consecutive wins since the rough start,,,That's 8 wins in a row!,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503112683346726943
56,2026-05-10 23:33:31,close,SNXUSDT,long,0.3545,,,,100,25,,55.8,0.3626,,"closes SNX in profit because he expects a pullback; plans to re-open after Monday. Card: 25x long entry 0.3545, mark 0.3626, +55.80%",,expects a market pullback,"Closing SNX in some profits, we're gonna have a pullback will open again after Monday",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503132904983756810
57,2026-05-11 00:40:45,breakeven,ZROUSDT,long,,,,,,,,,,,the remaining ZRO was stopped at breakeven after TP1 had already been taken,,,ZRO stopped out  on BE after TP1,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503149825196036228
57,2026-05-11 00:40:45,call,ZROUSDT,long,1.486,1.42,1.55,1.37,,,,,,,"immediately re-enters the ZRO long after the BE stop, with a lower DCA at 1.42 and the same 1.55 target",,,"Entered long again

Entry: 1.486
DCA: 1.42

TP1: 1.55

SL: 1.37",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503149825196036228
58,2026-05-11 01:30:22,view,BTCUSDT,long,,,,,,,,,,,bullish - expects BTC at 84-85k in the coming week,,expects 84-85k next week,"Expecting 84-85k coming week, I'm bullish.",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1503162313224749176
59,2026-05-11 02:30:48,call,BTCUSDT,short,82300,83000,,83650,,,,,82300,,counter-trend short at CMP with a DCA higher at 83k; no target in this message,,,"Short BTC 

Entry: 82.3k CMP 
DCA: 83k 

SL: 83650",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503177518499233970
60,2026-05-11 02:31:01,tp_set,BTCUSDT,short,,,"80000, 81000",,,,,,,,target zone for the BTC short - looking to cover in the 80-81k region,,,Looking to scalp it around 80-81,medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1503177573255872696
61,2026-05-11 03:58:37,close,BTCUSDT,short,82202.8,,,,100,100,,109.47,81302.9,,"takes profit on the quick top short; 100x short entry 82,202.80, exit 81,302.90, +109.47%",,,"TPed, fast top short, closed.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503199620715642910
62,2026-05-11 03:59:09,plan,BTCUSDT,long,80000,,,,,,,,,,will flip long once price stabilises - the 80k region is where he wants the entry,,,"Will long waiting for it to stabilize, 80k region would be a nice place to long.",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1503199754027270164
64,2026-05-11 04:00:33,recap,,,,,,,,,,,,,the BTC short close makes it ten straight wins,,,Guys that's a 10th streak win ^,high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503200106894069860
65,2026-05-11 04:02:52,recap,,,,,,,,,,,,,"lists the ten-win streak: UNI, SNX, BTC, ASTER, KERNEL, ZRO, AVNT, SYRUP, ETH, BTC (ASTER was never called in this channel)",,,"UNI
SNX 
BTC
ASTER
KERNEL
ZRO 
AVNT
SYRUP 
ETH
BTC 

**10/10**",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503200688010952805
66,2026-05-11 04:03:54,chat,,,,,,,,,,,,,asks followers who profited to post their PnLs in the profit-showcase channel,,,"If you made anything with me so far I would really appreciate the PNLs #💲｜profit-showcase 

Thankyou!",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503200948145619104
67,2026-05-11 09:12:24,partial_close,ZROUSDT,long,1.4772,,,,20,50,,189.93,1.5369,,"books 20% of the re-entered ZRO long at 1.5369 (+189.93% on the 50x) and deliberately does NOT move the stop to entry, keeping the original stop",,,"And the streak continues, 20% here not moving SL to entry.",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503278586050777149
68,2026-05-11 09:13:29,entry,BTCUSDT,long,80600,,,79500,,150,,51.78,,,has started scaling into a BTC long from 80.6k with a 79.5k stop; will post the full setup once he is confident enough. Card shows a 150x long at +51.78%,,,"I have started to scale in BTC long as well will give out once I'm confident enough 

For an idea I'm long since 80.6k SL @ 79.5k",high,https://discord.com/channels/1042855255089623100/1501271173588193290/1503278860400332892
69,2026-05-11 09:13:50,view,BTCUSDT,long,,,,,,,,,,,if the 80k region holds he expects BTC to run to 84k,support/resistance,"80s holding as support, 84k target","80s hold, 84 we go this is what I see.",medium,https://discord.com/channels/1042855255089623100/1501271173588193290/1503278948795289610
