position_id,symbol,base,quote,asset_class,side,side_sign,signal_time_utc,signal_ms,entry_time_utc,entry_ms,exit_time_utc,exit_ms,duration_hours,planned_entry,avg_entry,entry_ref,entry_style,planned_stop,planned_tp1,planned_tps,n_planned_tps,planned_dca,risk_dist_abs,risk_dist_pct,tp1_dist_pct,planned_rr,leverage,risk_note,exit_price,exit_type,outcome,r_stated,r_from_prices,roi_card_pct,n_dca_fills,n_stop_moves,n_tp_changes,n_partials,still_open_at_end,confidence,confidence_rank,is_backtestable,data_quality_flags,signal_hour_utc,signal_dow,signal_date_utc,thesis,indicators,market_context,management_story,notes,first_msg,msgs,first_msg_url
STABLEUSDT-2026-05-09-long,STABLEUSDT,STABLE,USDT,crypto,long,1.0,2026-05-09T08:51:05Z,1778316665057,2026-05-09T08:51:05Z,1778316665057.0,2026-05-13T03:13:16Z,1778641996384.0,90.4,0.0346,0.03459,0.03459,market,0.03,0.04,0.04,1,,0.00459,13.2697,15.6404,1.179,25.0,,0.04,take_profit,win,,1.179,231.02,0,0,1,1,False,medium,2,True,,8,Sat,2026-05-09,"Swing long on a slow-moving shitcoin from 0.0346 up to the 0.04 round number, explicitly not for scalpers.",resistance,quiet tape; he pointed intraday traders at his BTC scalp instead,"He called STABLE as a swing at 0.0346 CMP with a 0.04 target and a 0.03 stop, warning it would take time - and for three days it did nothing ('STABLE has been really STABLE'). On 12 May he added a first target at 0.03737 with the position +144% at 25x, then accidentally closed 100% of it right at that level for +200.92%, telling followers the 0.04 target was still valid but to take at least 50% there because it is resistance. Screenshots hours later showed he still had a live copy of the same long on MEXC (entry 0.03453, +248%), so he was not actually flat. On 13 May the full 0.04 target printed - a 20% unleveraged move, +231.02% ROI at 20x.","Same idea run on two exchanges: entry 0.03459 at 25x on the first (closed by accident at 0.03737) and 0.03453 at 20x on MEXC (held to the 0.04 target). Treated as one position. avg_entry/leverage use the first card; the final exit price 0.04 is his stated target level, which he says was hit in full rather than a posted fill.",44,44|51|82|83|84|86|89,https://discord.com/channels/1042855255089623100/1501271173588193290/1502593742513635530
ETHUSDT-2026-05-09-long,ETHUSDT,ETH,USDT,crypto,long,1.0,2026-05-09T10:58:20Z,1778324300982,2026-05-09T10:58:20Z,1778324300982.0,2026-05-10T15:45:44Z,1778427944212.0,28.8,2310.0,2311.73,2311.73,market,2260.0,2350.0,2350,1,2290,51.73,2.2377,1.6555,0.74,100.0,DCA is 50% of size,2340.53,manual_close,win,,0.557,124.58,0,0,1,0,False,high,3,True,,10,Sat,2026-05-09,Weekend scalp long on ETH from 2310 CMP with a 50% DCA underneath at 2290.,,weekend session,"He called the long at 2310 CMP with a 2290 DCA and a 2260 stop, and two minutes later put the target at 2350+, saying he would close manually. The position sat through the weekend and on 10 May he closed all of it at 2340.53 from an average of 2311.73 - +124.58% at 100x - calling it good enough for a weekend scalp. Two minutes after the screenshot went out, 2350 traded, so the target he had given was reached anyway. He never used the 2290 DCA.",The original call carried no target; the 2350 level came two minutes later in MSG 46 and is recorded as the planned take profit.,45,45|46|49|50,https://discord.com/channels/1042855255089623100/1501271173588193290/1502625769904406701
TAKEUSDT-2026-05-09-long,TAKEUSDT,TAKE,USDT,crypto,long,1.0,2026-05-09T11:12:56Z,1778325176456,,,,,,,,,,,,,0,,,,,,,Wanted at least 2 open positions closed before adding new ones.,,not_taken,not_taken,,,,0,0,0,0,False,high,3,False,,11,Sat,2026-05-09,TAKE looked good for a long but he was at his self-imposed position limit.,,,He posted that TAKE looked good for a long but that too many positions were already running - he wanted at least two closed before opening anything new - and signed off with 'see you at TPs'. No levels were given and TAKE is never mentioned again.,"Pure pass; no entry, stop or target published.",48,48,https://discord.com/channels/1042855255089623100/1501271173588193290/1502629441908510731
ZROUSDT-2026-05-11-long,ZROUSDT,ZRO,USDT,crypto,long,1.0,2026-05-10T21:40:45Z,1778449245500,2026-05-10T21:40:45Z,1778449245500.0,2026-05-11T09:32:58Z,1778491978060.0,11.9,1.486,1.4772,1.4772,,1.37,1.55,1.55,1,1.42,0.1072,7.257,4.9282,0.679,50.0,,1.5457,take_profit,win,,0.639,215.72,0,0,0,1,False,high,3,True,,21,Sun,2026-05-10,"An immediate re-entry of the same ZRO long seconds after the first one was stopped at breakeven - same idea and same 1.55 target, with a lower stop and a DCA at 1.42.",,,"He announced the breakeven stop and the re-entry in the same message at 00:40 on 11 May: long again at 1.486, DCA 1.42, TP1 1.55, SL 1.37 - his card shows the fill at 1.4772. At 09:12 he booked 20% at 1.5369 for +189.93% and made a point of not moving the stop to entry, leaving the original 1.37 in place. Three hours later the 1.55 target filled: the card shows 1.5457 and +215.72%. He noted straight after that this was the second time he had milked the same setup.","He explicitly refused to move the stop to entry after the 20% partial, so the original 1.37 stood to the end. The 1.42 DCA is never reported as filling.",57,57|67|72|73,https://discord.com/channels/1042855255089623100/1501271173588193290/1503149825196036228
BTCUSDT-2026-05-11-short,BTCUSDT,BTC,USDT,crypto,short,-1.0,2026-05-10T23:30:48Z,1778455848098,2026-05-10T23:30:48Z,1778455848098.0,2026-05-11T00:58:37Z,1778461117677.0,1.5,82300.0,82202.8,82202.8,market,83650.0,80000.0,80000|81000,2,83000,1447.2,1.7605,2.6797,1.522,100.0,,81302.9,manual_close,win,,0.622,109.47,0,0,0,0,False,high,3,True,,23,Sun,2026-05-10,"A counter-trend scalp short into the 82.3k spike, looking to cover in the 80-81k region.",,"He was openly bullish for the week, expecting 84-85k (msg 58), and took this quick top short against his own bias.","He shorted at 82.3k CMP with a DCA planned higher at 83k and a stop at 83,650 (msg 59), then said he was looking to scalp it around 80-81k (msg 60). BTC sold off immediately so the 83k DCA never came into play, and he covered 88 minutes later at 81,302.90 from 82,202.80 for +109.47% on 100x - 'TPed, fast top short, closed' (msg 61). He banked it above his own 80-81k target zone rather than waiting for it, and immediately said he would flip long once price stabilised around 80k (msg 62).","He calls it a TP, but the fill at 81,302.90 is above the 80-81k target zone, so it is recorded as a manual close in profit rather than a take-profit.",59,59|60|61,https://discord.com/channels/1042855255089623100/1501271173588193290/1503177518499233970
BTCUSDT-2026-05-11-long,BTCUSDT,BTC,USDT,crypto,long,1.0,2026-05-11T06:13:29Z,1778480009890,2026-05-11T06:13:29Z,1778480009890.0,2026-05-11T16:32:08Z,1778517128207.0,10.3,80900.0,80914.2,80914.2,market,79500.0,81500.0,81500|81600,2,,1414.2,1.7478,0.724,0.414,100.0,"He kept the wider 79.5k stop, 'playing safe here, scalp'; a tighter optional stop at 79,750 was offered to followers (msg 71)",81798.7,manual_close,win,,0.625,109.31,0,0,1,0,False,high,3,True,,6,Mon,2026-05-11,"Long the 80k region on the view that if the 80s hold, BTC runs to 84k - traded as a scalp he intended to close manually around 81.5-81.6k.",support/resistance,"Right after covering the top short; he wanted price to stabilise before longing, and read 80k holding as the trigger for a run to 84k.","He said he would long once BTC stabilised, with the 80k region as the place he wanted (msg 62), then started scaling in privately from 80.6k with a 79.5k stop and posted the running 150x card at +51.78% (msg 68). Once confident he published the formal call at 80.9k CMP with no DCA and the same 79.5k stop (msg 70), offering followers a tighter 79,750 stop while keeping the wider one himself (msg 71). Mid-afternoon he said he would close manually targeting 81.5-81.6k (msg 74). He closed the whole position that evening (msg 75) and posted the proof card: entry 80,914.20, exit 81,798.70, +109.31% on 100x (msg 76) - above his own stated target.","One position run on more than one account: the entry card (msg 68) is 150x and the closing card (msg 76) is 100x. Leverage and ROI record the closing card. The 80.6k private scale-in and the 80.9k published entry are the same trade, not two.",62,62|68|69|70|71|74|75|76,https://discord.com/channels/1042855255089623100/1501271173588193290/1503199754027270164
BTCUSDT-2026-05-12-long,BTCUSDT,BTC,USDT,crypto,long,1.0,2026-05-12T01:30:58Z,1778549458575,2026-05-12T01:30:58Z,1778549458575.0,2026-05-13T15:15:09Z,1778685309702.0,37.7,81300.0,81000.0,81000.0,,79500.0,,,0,80700,1500.0,1.8519,,,,Slightly risky - half risk or DCA-only entry suggested for followers,,stop_loss,loss,,,,1,0,2,0,False,high,3,True,,1,Tue,2026-05-12,"Another BTC scalp long, from 81.3k with a DCA at 80.7k, wanting a 4h close above 81.1k to open a run to 82k.",4h close,Continuation of his bullish 84-85k week view after two profitable BTC scalps.,"He called it at 81.3k with a DCA at 80.7k and a 79.5k stop, telling followers it was slightly risky so they could halve risk or just enter at the DCA (msg 79). The DCA filled 20 minutes later at a perfect level - 'if you entered at DCA you sniped' - taking his average to 81k in profit (msgs 80-81). By the next morning it was back around breakeven (msg 90); he said he needed a 4h close above 81.1k to get 82k, then set the official TP at 82k while flagging that he would probably exit early at 81.5-81.6k (msg 98). Price missed that trim level by about $150 and reversed into his stop: 'Sorry guys lost on BTC, stayed above profits for a long time but didn't TP, wanted to trim first @ 81.5k but missed by 150$' (msg 99). He re-entered a new long a minute later.","The loss is stated plainly but no exit price or card was posted - 79.5k is his published stop, not a confirmed fill. Average entry 81k is his own figure. The call carried no TP; the 82k target only appeared on 05-13.",79,79|80|81|90|98|99,https://discord.com/channels/1042855255089623100/1501271173588193290/1503570149297360977
XRPUSDT-2026-05-12-long,XRPUSDT,XRP,USDT,crypto,long,1.0,2026-05-12T12:01:26Z,1778587286656,2026-05-12T12:01:26Z,1778587286656.0,2026-05-14T14:30:30Z,1778769030106.0,50.5,1.448,1.4497,1.4497,market,1.4,1.5,1.5|1.525,2,,0.0497,3.4283,3.4697,1.012,100.0,,1.4531,manual_close,win,,0.068,23.45,0,0,0,0,False,high,3,True,,12,Tue,2026-05-12,Long XRP at market with targets at 1.5 and 1.525 and a 1.4 stop; no reasoning was given with the call.,,not stated,"He called the long at 1.448 CMP with two targets and a 1.4 stop. It went nowhere for two days and sat around breakeven, and on 14 May price nearly touched his stop, which he read as the setup being invalidated - so he closed at 1.4531 from 1.4497 for a token +23.45% at 100x rather than risk the full stop. Minutes later it broke out, and by that evening it had run to 1.5431, through both of his targets. He posted the chart himself and called it a fumble, saying the idea was right even though he had exited early.","Closed for a tiny profit, so it counts as a win, but he treats it as a fumbled trade because the full target hit after he was out.",85,85|90|108|110|124,https://discord.com/channels/1042855255089623100/1501271173588193290/1503728811768811663
ETHUSDT-2026-05-13-long,ETHUSDT,ETH,USDT,crypto,long,1.0,2026-05-13T03:41:20Z,1778643680884,2026-05-13T03:41:20Z,1778643680884.0,,,,2293.0,,2293.0,market,2245.0,2336.0,2336,1,,48.0,2.0933,1.8753,0.896,,Risky trade go half,,unknown,unknown,,,,0,0,1,0,False,low,1,True,low_confidence_reconstruction,3,Wed,2026-05-13,"Risky market long on ETH with a 2245 stop, taken at half size - 'I hate ETH'.",,not stated,"He called the long at 2293 CMP with a 2245 stop, flagged it as risky and told people to go half size. Eleven seconds later he noted the message had gone out late and that 2298 was still a valid entry. Forty minutes after that he gave the first target, 2336, joking that he would take a break if ETH broke his streak. Nothing in the log ever says how this one ended.","No exit, stop-out or update of any kind after MSG 95. He floats a fresh ETH long idea on 16 May, so this one had presumably been closed or stopped by then, but nothing states it - outcome left unknown.",91,91|92|95,https://discord.com/channels/1042855255089623100/1501271173588193290/1503965346304884828
SOLUSDT-2026-05-13-long,SOLUSDT,SOL,USDT,crypto,long,1.0,2026-05-13T03:52:43Z,1778644363356,2026-05-13T04:02:05Z,1778644925277.0,2026-05-13T09:11:15Z,1778663475836.0,5.2,95.5,95.53,95.53,market,93.5,97.0,97,1,,2.03,2.125,1.5388,0.724,100.0,,95.7,manual_close,win,,0.084,17.79,0,0,0,0,False,high,3,True,,3,Wed,2026-05-13,"He thought SOL was a much better long from CMP than the ETH trade he had already called, so he offered SOL as an optional add-on long.",,,"Ten minutes after saying SOL looked a lot better to long than the ETH he had already called, he posted the SOL long at 95.5 CMP with TP 97 and SL 93.5, framed as optional ('if anyone's looking long for SOL'). Five hours later he closed it himself at 95.7 for a token +17.79% on 100x, explicitly to stay on the safe side and protect his streak while his other three longs ran. Twenty seconds after that he told risk-tolerant members the setup was still valid and they could keep it running rather than close with him.",He exited early for streak-protection reasons rather than at the 97 target; the follower guidance (keep it running) differs from his own action and is recorded in the story only.,93,93|94|96|97,https://discord.com/channels/1042855255089623100/1501271173588193290/1503968208800190536
BTCUSDT-2026-05-13-long,BTCUSDT,BTC,USDT,crypto,long,1.0,2026-05-13T15:16:30Z,1778685390019,2026-05-13T15:16:30Z,1778685390019.0,2026-05-14T15:02:51Z,1778770971374.0,23.8,79400.0,79284.35,79284.35,market,77900.0,82000.0,82000,1,79000,1384.35,1.7461,3.4252,1.962,100.0,"Save some for DCA - around 25%, half of what you're putting on now",80893.8,manual_close,win,,1.163,202.99,1,0,0,0,False,high,3,True,,15,Wed,2026-05-13,"Immediate re-entry after the stop-out: long 79.4k CMP with 25% kept back for a 79k DCA, targeting 82k, on his scripted path of a dip to 78.5k, a bounce and a news-driven push to 81-82k.",news,"Clarity-act headlines were the catalyst; he had publicly scripted the move - dip to 78.5k, bounce, news, 81-82k (msgs 111, 121).","He called the re-entry within a minute of announcing the previous loss - long 79.4k CMP, 25% saved for a DCA (msgs 100-101) - and gave the DCA level as 79k two minutes later (msg 102). The DCA filled and by the following afternoon he showed the position at an average of 79.2k running in heavy profit (msg 108), with a card at 79,284.35 and +108.28% on 100x (msg 109), noting BTC was moving exactly as he had mapped it (msg 111). He closed the whole position at about 81k for +202.99% on 100x - card 79,284.35 to 80,893.80 - saying it made back the losses from both earlier stop-outs (msg 112). He then posted the same trade from two other accounts: BloFin 30x, 79,313.40 to 80,926.40, +61% (msg 115), and a 250x card at +448.51% (msg 116).","One position run on at least three accounts (100x main, BloFin 30x, 250x) - the three cards are not three trades. He exited at ~81k, below his published 82k target. Stated average 79.2k vs 79,284.35 on the card; the BloFin card shows 79,313.40.",100,100|101|102|108|109|111|112|115|116,https://discord.com/channels/1042855255089623100/1501271173588193290/1504140287096651806
