msg,time_utc,time_ms,event_type,symbol,side,entry_price,dca_price,take_profits,stop_loss,portion_pct,leverage,r_stated,roi_pct,price_ref,risk_note,rationale,indicators,market_context,quote,confidence,confidence_rank,msg_url
11,2026-05-07T12:32:55Z,1778157175797,call,ZROUSDT,long,1.48,,1.5523,1.36,,,,,1.48,Keep 50-30% funds for DCA but optional you can go all in here I'm not saving for DCA personally,long at CMP; manual TP but if he goes quiet take profit around 1.5523; says this is the last new position before something exits,,,"Long ZRO

Entry: 1.48 CMP 

Keep 50-30% funds for DCA but optional you can go all in here I'm not saving for DCA personally 

TP: Manual, IF I don't give TP in a while just TP it around 1.5523

SL: 1.36",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1501924796072464426
12,2026-05-07T12:35:12Z,1778157312649,entry,ZROUSDT,long,1.486,,,,,,,,1.486,,corrects the ZRO entry - CMP was actually 1.486 because price moved fast after the call,,,"1.486 was CMP, moved fast",medium,2,https://discord.com/channels/1042855255089623100/1501271173588193290/1501925370071355604
12,2026-05-07T12:35:12Z,1778157312649,dca,ZROUSDT,long,,1.45,,,50.0,,,,,"enter 50% here, and 50% 1.45, your choice if you want to enter fully here","gives a split entry for ZRO after the fast move - half at market, half at 1.45",,,"I advise enter 50% here, and 50% 1.45, your choice if you want to enter fully here",medium,2,https://discord.com/channels/1042855255089623100/1501271173588193290/1501925370071355604
13,2026-05-07T12:35:55Z,1778157355784,update,ZROUSDT,long,,,1.5523,,,,,,,,reiterates the ZRO fallback TP level in case he does not post a manual TP; no change to the target,,,IF I don't give TP in a while just TP it around 1.5523,medium,2,https://discord.com/channels/1042855255089623100/1501271173588193290/1501925550992654406
14,2026-05-07T12:41:53Z,1778157713243,view,GOLD,long,,,,,,,,,,declines the setup because he already has too many positions,gold looks longable but he is not taking it - too many positions open,,,Gold looks Longable but too many positions for now!,high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1501927050284372139
15,2026-05-07T16:48:16Z,1778172496606,stopped_out,BTCUSDT,long,,,,,,,,,,,the BTC scalp is about to be stopped and may already have been on some exchanges; had gone to BE before the drop,,unexpected drop,"ETH stopped, BTC about to get stopped (on some exchanges maybe it already did)

Both went BE but didn't expect a drop so stopped.",medium,2,https://discord.com/channels/1042855255089623100/1501271173588193290/1501989056202936340
15,2026-05-07T16:48:16Z,1778172496606,stopped_out,ETHUSDT,long,,,,,,,,,,,ETH stopped; it had gone to BE first but the unexpected drop took it out - calls it a rough start and apologises,,unexpected drop,"ETH stopped, BTC about to get stopped (on some exchanges maybe it already did)

Both went BE but didn't expect a drop so stopped.",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1501989056202936340
17,2026-05-07T22:40:42Z,1778193642827,call,BTCUSDT,long,79700.0,,80500,78500.0,,,,,79700.0,,"long at CMP with a conditional stop - 1h close under 79k, otherwise the hard stop at 78.5k",1h close,,"Long BTC 

Entry: 79.7k CMP 

TP: 80.5k

SL: 1h close under 79k or hard SL @ 78.5k",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502077749882523759
18,2026-05-08T01:08:16Z,1778202496377,dca,BTCUSDT,long,,79469.0,,,,,,,,equal DCA (same size as the initial entry),places an equal-sized DCA at 79469; position is sitting at breakeven right now so followers can adjust,,,"Putting an equal DCA @ 79469 

At BE rn so you can adjust accordingly",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502114884362702878
19,2026-05-08T03:24:00Z,1778210640166,dca,BTCUSDT,long,79590.0,79469.0,,,,,,,,,the 79469 DCA filled; blended position now sits at breakeven at 79590,,,DCA filled and at BE (79590),high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502149041889218672
19,2026-05-08T03:24:00Z,1778210640166,partial_close,BTCUSDT,long,,,,,50.0,,,,79590.0,take out your DCA value here,instructs taking the DCA portion back off at breakeven so it can be re-placed lower (clarified in msg 21 as 50%),,,Kindly take out your DCA value here.,high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502149041889218672
19,2026-05-08T03:24:00Z,1778210640166,dca,BTCUSDT,long,,78600.0,,,,,,,,equal DCA,re-places the equal DCA lower at 78.6k after taking the filled DCA off at BE; TP to be taken manually; confident the trade exits green,,,"Putting equal DCA @ 78.6k

SL @ 77.6k

TP MANUALLY!

I know it's sound messy but I'm confident we will exit this one in green!",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502149041889218672
19,2026-05-08T03:24:00Z,1778210640166,sl_move,BTCUSDT,long,,,,77600.0,,,,,,,stop widened from 78.5k to 77.6k to sit below the new 78.6k DCA level,,,SL @ 77.6k,high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502149041889218672
21,2026-05-08T03:24:33Z,1778210673906,partial_close,BTCUSDT,long,,78600.0,,,50.0,,,,,,clarifies msg 19 - take 50% (the filled DCA half) off here and re-place it as a limit at 78.6k,,,Basically take out 50% DCA here and put it at 78.6k,high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502149183405293568
22,2026-05-08T03:43:06Z,1778211786564,call,AVNTUSDT,long,0.158,,0.1746|0.2023,0.1411,,,,,0.158,,long at CMP with two targets,,,"Long AVNT

Entry: 0.158 CMP 

TP: 
0.1746
0.2023

SL: 0.1411",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502153850231193630
23,2026-05-08T03:43:37Z,1778211817835,update,,,,,,,,,,,,Manage risk.,"position roll call - UNI, ZRO, BTC and AVNT all running",,,"We have 4 positions running

UNI
ZRO
BTC
AVNT

Manage risk.",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502153981391012050
23,2026-05-08T03:43:37Z,1778211817835,education,,,,,,,,,,,,I risk 2% on normal traders and 1% on risky ones,"states his own position sizing rule - 2% risk on normal trades, 1% on the ones he flags as risky",,,I risk 2% on normal traders and 1% on risky ones!,high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502153981391012050
24,2026-05-08T04:21:04Z,1778214064492,view,,long,,,,,,,,,,caps himself at 4 open positions,likes SLP and KERNEL as longs too but is holding at four positions until the current TPs come in,,,"I like SLP and KERNEL too but I think 4 are enough for now, let's get these TPs first",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502163404553715722
25,2026-05-08T10:48:41Z,1778237321639,partial_close,BTCUSDT,long,79564.8,,80500,,20.0,,,,,,"BTC started moving - optional 20% trim at 80.5k; he will post when he closes. Screenshot shows his entry price 79,564.80",,,"BTC started moving, you can take 20% @ 80.5k if you want, I'll update whenever I close!",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502260952098279615
26,2026-05-08T15:44:20Z,1778255060823,partial_close,UNIUSDT,long,,,,,50.0,50.0,0.7,101.21,,,treats UNI as the channel's first win and books half the position at a 0.7R move; PnL card shows the 50x UNI long closed at +101.21% ROI,,,"Okay let's treat as our first win 

Closing 50% UNI for 0.7 R move",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502335355628687451
26,2026-05-08T15:44:20Z,1778255060823,tp_move,UNIUSDT,long,,,3.7|4,,,,,,,,target lifted from the original 3.669 - he will fully take profit at 3.7 while followers can hold for 4,,,"I'll take personally  fully TP @ 3.7
You can hold till 4",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502335355628687451
26,2026-05-08T15:44:20Z,1778255060823,sl_move,UNIUSDT,long,3.46,,,3.46,,,,,,,stop moved to breakeven at the 3.46 entry after taking the 50% partial,,,SL @ BE 3.46,high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502335355628687451
27,2026-05-08T15:47:55Z,1778255275357,call,KERNELUSDT,long,0.064,,0.066,0.581,,,,,,,"high win rate / low R trade; manual TP targeting ~0.066 first, stop is a 4h close under the level or the hard stop. NOTE: he wrote the stops as 0.59 and 0.581, which are recorded verbatim but are almost certainly typos for 0.059 / 0.0581 given the 0.064 entry",4h close,,"Long KERNEL 

Entry: 0.064

TP: Manually, targeting first around 0.066

SL: 4h under 0.59 or hard SLs  at 0.581

High Win rate Low R trade",medium,2,https://discord.com/channels/1042855255089623100/1501271173588193290/1502336255449366558
28,2026-05-08T15:48:07Z,1778255287983,update,KERNELUSDT,long,,,,,,,,,0.064,,clarifies that the 0.064 KERNEL entry is at current market price,,,CMP ^,medium,2,https://discord.com/channels/1042855255089623100/1501271173588193290/1502336308406911027
29,2026-05-08T16:41:13Z,1778258473533,close,UNIUSDT,long,,,3.7,,100.0,,1.4,,3.7,,UNI broke out ('blew up') and he exited the remainder at his 3.7 target for about 1.4R; chart shows UNIUSDT +7.52% with a parabolic breakout to 3.698,,,"Well UNI blew up, I'm fully out here @ 3.7 for around 1.4 R",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502349669571891250
29,2026-05-08T16:41:13Z,1778258473533,view,UNIUSDT,long,,,,,,,,,4.0,,expects UNI to reach $4 by the coming weekend or week even though he is out,,,Think we see 4$ by coming weekend/week,high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502349669571891250
30,2026-05-08T16:41:59Z,1778258519693,chat,,,,,,,,,,,,,"clarifies the Demo Trading watermark on his screenshots - he trades a CFT funded account on Bybit, not demo",,,Btw not trading demo it's CFT funded account on Bybit just clarifying,high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502349863180828906
31,2026-05-08T16:49:28Z,1778258968177,call,SNXUSDT,long,0.354,0.334,0.39,0.31,50.0,,1.0,,0.354,DCA is 50% of size; TP1 closes 50% of the position,"long at CMP with a 50% DCA at 0.334; first target 0.39 is 1R and takes half off, second target to be given later",,,"Long SNX

Entry: 0.354 CMP 
DCA: 0.334 (50%)

TP: 0.39 (1R) (50%)
TP2 later 

SL: 0.31",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502351744259063878
32,2026-05-08T16:54:13Z,1778259253918,update,,,,,,,,,,,,please manage risk 1-2% per trade,"position roll call - BTC, KERNEL, ZRO, AVNT and SNX running",,,"Running

BTC 
KERNEL 
ZRO
AVNT
SNX",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502352942743818250
32,2026-05-08T16:54:13Z,1778259253918,view,,long,,,,,,,,,,will not add them - five positions are enough,"sees ASTER, NEAR and SOL as ready for a weekend pump but is not taking them",,expects a weekend alt pump,"I like many more ALTs that look ready for a weekend PUMP ASTER, NEAR, SOL but these are enough, please manage risk 1-2% per trade.",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502352942743818250
33,2026-05-08T18:22:35Z,1778264555255,plan,BTCUSDT,long,79500.0,,81000|82000,,,,,,,,"expects a hard BTC pump over the weekend to the previous daily high; a 4h close above 80.5k would put 81-82k in play, where he intends to close the long he holds from 79.5k",4h close|previous daily high,weekend,"I have a feeling we will pump hard on BTC this weekend, can visit previous daily high.

4h close above 80.5k and I would expect 81-82k, where I'll be looking to close my long from 79.5k",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502375178162933760
34,2026-05-08T23:01:21Z,1778281281318,education,,,,,,,,,,,,limits the number of calls because followers ignore risk management and go all in,"the alts he named (SOL, NEAR, PUMPFUN, ASTER charts attached) all popped off; explains he caps his own calls because followers do not manage risk, and tells them to do their own analysis on any coin he mentions",,alt market moving up,"Look at them go, every ALT I mentioned here just popping off even ASTER started moving

Usually I'm already in too many trades and have to limit myself for giving positions because I feel like people don't care about risk management and jump in all in.

But if I ever mention a coin and you can do some analysis, check them out!",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502445332355878943
35,2026-05-09T01:45:42Z,1778291142281,tp_hit,KERNELUSDT,long,0.06454,,0.066,,,20.0,,49.35,0.06615,,"KERNEL reached the first target; share card shows the 20x long still open, entry 0.06454, mark 0.06615, +49.35% ROI",,,"KERNEL TP1 here, next TP @ 0.0673",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502486692232298586
35,2026-05-09T01:45:42Z,1778291142281,tp_set,KERNELUSDT,long,,,0.0673,,,,,,,,sets the second KERNEL target at 0.0673 after TP1,,,next TP @ 0.0673,high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502486692232298586
36,2026-05-09T01:48:32Z,1778291312851,update,AVNTUSDT,long,0.15851,,,,,50.0,,265.55,0.16787,,"running-trade card in the batch update - AVNT 50x long open at +265.55% (entry 0.15851, mark 0.16787)",,,"All trades running in good profits, take TP whenever you want, don't let them round trip. 

I'll update when I close.",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502487407654862971
36,2026-05-09T01:48:32Z,1778291312851,update,BTCUSDT,long,79764.4,,,,,100.0,,67.25,80333.9,,"running-trade card in the batch update - BTC 100x long open at +67.25% (entry 79,764.40, mark 80,333.90)",,,"All trades running in good profits, take TP whenever you want, don't let them round trip. 

I'll update when I close.",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502487407654862971
36,2026-05-09T01:48:32Z,1778291312851,update,KERNELUSDT,long,0.06454,,,,,20.0,,49.35,0.06615,,running-trade card in the batch update - KERNEL 20x long open at +49.35%; tells followers to take TP whenever they want and not let winners round trip,,,"All trades running in good profits, take TP whenever you want, don't let them round trip. 

I'll update when I close.",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502487407654862971
36,2026-05-09T01:48:32Z,1778291312851,update,SNXUSDT,long,0.3545,,,,,25.0,,118.67,0.3727,,"running-trade card in the batch update - SNX 25x long open at +118.67% (entry 0.3545, mark 0.3727)",,,"All trades running in good profits, take TP whenever you want, don't let them round trip. 

I'll update when I close.",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502487407654862971
36,2026-05-09T01:48:32Z,1778291312851,update,UNIUSDT,long,3.458,,,,,50.0,,101.21,3.528,,"re-posted closed card inside the batch - UNI 50x long, entry 3.458, exit 3.528, +101.21%, documenting the earlier partial close",,,"All trades running in good profits, take TP whenever you want, don't let them round trip. 

I'll update when I close.",medium,2,https://discord.com/channels/1042855255089623100/1501271173588193290/1502487407654862971
36,2026-05-09T01:48:32Z,1778291312851,update,ZROUSDT,long,1.4744,,,,,50.0,,34.43,1.4849,,"running-trade card in the batch update - ZRO 50x long open at +34.43% (entry 1.4744, mark 1.4849)",,,"All trades running in good profits, take TP whenever you want, don't let them round trip. 

I'll update when I close.",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502487407654862971
38,2026-05-09T01:52:10Z,1778291530882,close,SYRUPUSDT,long,0.25328,,,,100.0,25.0,,67.61,0.26013,,"closes an older Journals trade out of impatience after holding it 10 days, despite believing it will blow up; 25x long exited 0.26013 for +67.61%",,,"Also closing this trade from Journals, 100% this is gonna blow up but I have been holding for 10 days, its getting annoying.",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502488322143162518
39,2026-05-09T01:54:13Z,1778291653665,education,,,,,,,,,,,,SL to Entry after TP1,general rule reminder - move the stop to entry once TP1 is taken; posted as a reply to the KERNEL TP1 message,,,"Common knowledge but a reminder, SL to Entry after TP1",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502488837132259390
39,2026-05-09T01:54:13Z,1778291653665,sl_move,KERNELUSDT,long,,,,,,,,,,,"posted as a reply to the KERNEL TP1 message, so it implies moving the KERNEL stop to entry; he did not restate the entry level so no stop price is recorded",,,"Common knowledge but a reminder, SL to Entry after TP1",low,1,https://discord.com/channels/1042855255089623100/1501271173588193290/1502488837132259390
40,2026-05-09T03:06:56Z,1778296016774,close,BTCUSDT,long,79764.4,,,,100.0,100.0,,72.31,80400.0,,"closes the BTC long at 80.4k; card shows the 100x long exited at 80,341.20 from 79,764.40 for +72.31%",,,Closing BTC @ 80.4k,high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502507137337786561
41,2026-05-09T03:54:44Z,1778298884699,update,BTCUSDT,long,79500.0,,,,,,,,,,"clarifies the BTC entry - original entry was 79.5k, the card shows 79.7k because he added margin",,,BTW 79.5k was the original entry I added more margin so it shows 79.7k,high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502519166286954537
42,2026-05-09T04:10:34Z,1778299834450,plan,BTCUSDT,long,80300.0,,,79000.0,,,,,,,"wants to re-long BTC because he still believes it pumps hard and makes a new daily high or at least visits the previous high, but would rather wait for a ~80.3k entry than take CMP",previous daily high,,Kinda wanna long BTC again from CMP with SL 79k because as I said earlier I believe BTC will pump hard and might make a new daily High or at least visit previous High but will wait if I can get an entry around 80.3k,high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502523149831634995
43,2026-05-09T06:53:50Z,1778309630576,plan,BTCUSDT,long,79000.0,78000.0,,77000.0,,,,,,"don't place any limits, wait for his entry confirmation","lower timeframes look bearish so he waits; plans to re-use the previous setup (79k entry, 78k DCA, 77k SL) and will call the entry live rather than have followers leave limit orders",LTF,LTF looks bearish,"LTF looks bearish so waiting for entry, I would like to use the same setup as before, 79k entry, 78k DCA, 77k SL but don't place any limits I'll let you know when I enter. 

Looking to long in 79k region!",medium,2,https://discord.com/channels/1042855255089623100/1501271173588193290/1502564237762101269
44,2026-05-09T08:51:05Z,1778316665057,call,STABLEUSDT,long,0.0346,,0.04,0.03,,,,,0.0346,,swing long at CMP that will take time; intraday/scalp traders should wait for the BTC scalp instead,,,"Long STABLE (Swing)

Entry: 0.0346 CMP 

TP: 0.04

SL: 0.03

Will take some time, if you like intradays/scalps wait for BTC scalp!",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502593742513635530
45,2026-05-09T10:58:20Z,1778324300982,call,ETHUSDT,long,2310.0,2290.0,,2260.0,,,,,2310.0,DCA is 50% of size,long at CMP with a 50% DCA at 2290; no target given in this message,,,"Long ETH 

Entry: 2310 CMP

DCA: 2290 (50%)

SL: 2260",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502625769904406701
46,2026-05-09T11:00:58Z,1778324458048,tp_set,ETHUSDT,long,,,2350,,,,,,,,"gives the ETH target - 2350+, closed manually",,,Will close manually but targeting 2350+,medium,2,https://discord.com/channels/1042855255089623100/1501271173588193290/1502626428687220946
47,2026-05-09T11:01:21Z,1778324481906,update,,,,,,,,,,,,,"position roll call - ZRO, AVNT, STABLE, SNX and ETH running",,,"Trades running

ZRO
AVNT
STABLE
SNX
ETH",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502626528754925680
48,2026-05-09T11:12:56Z,1778325176456,view,TAKEUSDT,long,,,,,,,,,,wants at least 2 positions closed before opening new ones,TAKE looks good for a long but he is at position capacity,,,"TAKE looking good for long but too many positions running at the moment I want at least 2 out for new trades, see you at TPs",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1502629441908510731
49,2026-05-10T15:45:44Z,1778427944212,close,ETHUSDT,long,2311.73,,,,100.0,100.0,,124.58,2340.53,,closes the ETH long calling it good enough for a weekend scalp; 100x long exited 2340.53 from 2311.73 for +124.58%,,weekend,"Alright guys good enough for a weekend scalp, closing it here!",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1503060481118568578
50,2026-05-10T15:47:56Z,1778428076921,tp_hit,ETHUSDT,long,,,2350,,,,,,2350.0,,the 2350 ETH target printed moments after he closed and posted the screenshot,,,"2350 was my target, already hit while I was sending the screenshot.",medium,2,https://discord.com/channels/1042855255089623100/1501271173588193290/1503061037740458126
51,2026-05-10T15:50:39Z,1778428239225,update,STABLEUSDT,long,,,,,,,,,,,STABLE has not moved - still trading around his entry,,,STABLE has been really STABLE still around entry,high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1503061718493036725
52,2026-05-10T18:01:23Z,1778436083161,partial_close,AVNTUSDT,long,0.15851,,,,,50.0,,246.69,0.16709,,takes TP1 on AVNT at the current 0.16709 with the 50x long still open at +246.69%; portion not specified,,,"AVNT TP1 here, fully close @ 0.1746",medium,2,https://discord.com/channels/1042855255089623100/1501271173588193290/1503094618345181387
52,2026-05-10T18:01:23Z,1778436083161,tp_move,AVNTUSDT,long,,,0.1746,,100.0,,,,,,the rest of AVNT now comes off at 0.1746 rather than being held for the original second target at 0.2023,,,"AVNT TP1 here, fully close @ 0.1746",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1503094618345181387
53,2026-05-10T18:02:37Z,1778436157067,plan,SNXUSDT,long,,,,,,,,,,,close to closing SNX on gut feel with no technical reason given,,,I'm this close to closing SNX idk why but I just want to close,high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1503094928329412670
53,2026-05-10T18:02:37Z,1778436157067,update,ZROUSDT,long,,,1.5523,,,,,,,,ZRO has been rejecting from the 1.5523 TP for three days; advises taking profit early if a drop appears,,,"ZRO is edging me off keeps coming back from TP @ 1.5523 since 3 days, take TP early if you see a drop.",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1503094928329412670
54,2026-05-10T19:10:30Z,1778440230676,partial_close,ZROUSDT,long,1.4744,,1.55,,25.0,50.0,,178.94,1.53,,"books 25% of ZRO at 1.53 (+178.94% on the 50x) and plans the full exit around 1.55+, will update if he sees weakness",,,"25% here, fully exit around 1.55+ 
Will update if I see weakness",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1503112014283673735
55,2026-05-10T19:13:10Z,1778440390193,recap,,,,,,,,,,,,,claims eight consecutive wins since the rough start,,,That's 8 wins in a row!,high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1503112683346726943
56,2026-05-10T20:33:31Z,1778445211407,close,SNXUSDT,long,0.3545,,,,100.0,25.0,,55.8,0.3626,,"closes SNX in profit because he expects a pullback; plans to re-open after Monday. Card: 25x long entry 0.3545, mark 0.3626, +55.80%",,expects a market pullback,"Closing SNX in some profits, we're gonna have a pullback will open again after Monday",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1503132904983756810
57,2026-05-10T21:40:45Z,1778449245500,breakeven,ZROUSDT,long,,,,,,,,,,,the remaining ZRO was stopped at breakeven after TP1 had already been taken,,,ZRO stopped out  on BE after TP1,high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1503149825196036228
57,2026-05-10T21:40:45Z,1778449245500,call,ZROUSDT,long,1.486,1.42,1.55,1.37,,,,,,,"immediately re-enters the ZRO long after the BE stop, with a lower DCA at 1.42 and the same 1.55 target",,,"Entered long again

Entry: 1.486
DCA: 1.42

TP1: 1.55

SL: 1.37",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1503149825196036228
58,2026-05-10T22:30:22Z,1778452222878,view,BTCUSDT,long,,,,,,,,,,,bullish - expects BTC at 84-85k in the coming week,,expects 84-85k next week,"Expecting 84-85k coming week, I'm bullish.",medium,2,https://discord.com/channels/1042855255089623100/1501271173588193290/1503162313224749176
59,2026-05-10T23:30:48Z,1778455848098,call,BTCUSDT,short,82300.0,83000.0,,83650.0,,,,,82300.0,,counter-trend short at CMP with a DCA higher at 83k; no target in this message,,,"Short BTC 

Entry: 82.3k CMP 
DCA: 83k 

SL: 83650",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1503177518499233970
60,2026-05-10T23:31:01Z,1778455861153,tp_set,BTCUSDT,short,,,80000|81000,,,,,,,,target zone for the BTC short - looking to cover in the 80-81k region,,,Looking to scalp it around 80-81,medium,2,https://discord.com/channels/1042855255089623100/1501271173588193290/1503177573255872696
61,2026-05-11T00:58:37Z,1778461117677,close,BTCUSDT,short,82202.8,,,,100.0,100.0,,109.47,81302.9,,"takes profit on the quick top short; 100x short entry 82,202.80, exit 81,302.90, +109.47%",,,"TPed, fast top short, closed.",high,3,https://discord.com/channels/1042855255089623100/1501271173588193290/1503199620715642910
62,2026-05-11T00:59:09Z,1778461149461,plan,BTCUSDT,long,80000.0,,,,,,,,,,will flip long once price stabilises - the 80k region is where he wants the entry,,,"Will long waiting for it to stabilize, 80k region would be a nice place to long.",medium,2,https://discord.com/channels/1042855255089623100/1501271173588193290/1503199754027270164
