position_id,symbol,side,signal_time_utc,entry_ref,planned_stop,planned_tp1,last_msg,last_seen_utc,why
BTWUSDT-2026-07-27-long-spot,BTWUSDT,long,2026-07-27T10:22:01Z,0.095,0.07,,813,2026-07-28T16:55:32Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
SOLUSDT-2026-07-28-long,SOLUSDT,long,2026-07-28T11:40:46Z,73.19,69.4,,812,2026-07-28T16:14:04Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
ETHUSDT-2026-08-01-short,ETHUSDT,short,2026-08-01T18:42:13Z,1840.0,,1700.0,867,2026-08-03T08:25:55Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
THETAUSDT-2026-08-07-short,THETAUSDT,short,2026-08-07T13:18:24Z,0.134,0.1375,0.1322,915,2026-08-09T11:31:29Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
BTCUSDT-2026-08-11-long-spot,BTCUSDT,long,2026-08-11T20:24:28Z,63500.0,,,999,2026-08-21T10:32:36Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
HOLOUSDT-2026-08-12-long-spot,HOLOUSDT,long,2026-08-11T23:00:25Z,0.084,,,936,2026-08-12T03:35:43Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
ENSUSDT-2026-08-14-long,ENSUSDT,long,2026-08-14T16:21:01Z,4.036,3.91,,946,2026-08-14T16:21:01Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
ZECUSDT-2026-08-18-short,ZECUSDT,short,2026-08-18T13:32:08Z,505.2,517.5,499.0,971,2026-08-19T14:24:43Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
HYPEUSDT-2026-08-19-short,HYPEUSDT,short,2026-08-19T15:05:47Z,59.82,61.5,,976,2026-08-19T15:38:59Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
ARBUSDT-2026-08-20-short,ARBUSDT,short,2026-08-20T15:09:34Z,0.0889,0.09106,0.0869,991,2026-08-20T15:09:34Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
SUIUSDT-2026-08-20-long,SUIUSDT,long,2026-08-20T17:07:05Z,0.74,,,999,2026-08-21T10:32:36Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
AVAXUSDT-2026-08-20-long,AVAXUSDT,long,2026-08-20T17:07:05Z,7.2,,,999,2026-08-21T10:32:36Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
LINKUSDT-2026-08-20-long,LINKUSDT,long,2026-08-20T17:07:56Z,,,,999,2026-08-21T10:32:36Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
BERAUSDT-2026-08-21-long,BERAUSDT,long,2026-08-21T10:51:59Z,0.19,0.1946,,1001,2026-08-21T11:07:13Z,never resolved in the channel — resolve from OHLCV: whichever of stop/TP1 was touched first after signal_time_utc
